,,,,
1레벨 구조분석,1레벨 기능분석,,,1레벨 고장분석
1. 다음 상위수준,1. 다음 상위수준 기능 및 요구사항,,,1.  자동차 및 사용자 영향(FE)
완제품,분류,완제품 기능,요구사항,고장영향(FE)
완제품 타이어,법규기능,CF1내부 압력을 유지하며 구조적 파열을 방지하는 기능,CF1내압 파열 압력,CF1주행 중 파열(9)
,,,CF2파열 내구 수명,CF2차량 제어 상실(9)
,기본기능,CF2내부 압력을 유지하며 구조적 파열을 방지하는 기능,PF1접지계수,PF1가속 성능 저하(7)
,,,PF2구름저항 계수,PF2연비 저하(7)
,보조기능,PF1노면과의 마찰력을 통해 차량을 전진·후진시키는 기능,PF4슬립각 특성,PF2연비 저하(7)
,,,PF5제동력 계수,PF3조향 응답성 저하(7)
,관능기능,PF4조향 입력을 노면에 전달하여 차량 진행 방향을 제어하는 기능,PF1접지계수,PF5제동 성능 저하(7)
,,,PF1접지계수,PF4선회 안정성 저하(7)
,법규기능,CF1내부 압력을 유지하며 구조적 파열을 방지하는 기능,,
,기본기능,,,
,,,,
