,,,
2단계 구조분석,3단계 기능분석,,4단계 고장분석
2. 초점 요소,2. 초점요소 기능 및 요구사항,,2. 초점요소 고장 형태(FM)
초점요소(A'ssy),초점요소 기능,요구사항,고장형태(FM)
1.1Tread Package,"FM1.1노면과 직접 접촉하여 구동력·제동력·조향력을 전달하고, 마모 수명 및 소음·배수 성능을 확보하는 기능",CF1내압 파열 압력,FM1.1.1저마찰
,,CF2파열 내구 수명,FM1.1.2접지력저하
1.2Sidewall P.,"FM2.1주행 중 굴곡 변형을 허용하여 승차감과 내구성을 확보하고, 외부 충격으로부터 내부 구조를 보호하는 기능",PF1접지계수,FM1.1.3조기마모
,,PF2구름저항 계수,FM1.1.5수막현상
1.3Inner Liner P.,FM3.1타이어 내부 공기 누설을 방지하여 공기압을 유지하고 주행 안정성을 확보하는 기능,PF3코너링 강성,FM1.1.5수막현상
,,PF4슬립각 특성,FM1.1.6배수저하
1.4Bead P.,FM4.1림과 타이어를 견고하게 고정하여 공기압을 유지하고 구동·제동 시 이탈을 방지하는 기능,PF5제동력 계수,FM1.1.7소음증가
,,SF1수직 강성,FM1.1.8공명소음
1.5Steel Belt P.,FM5.1트레드 하부를 보강하여 접지면 형상을 안정화하고 고속 주행 안정성 및 내마모성을 향상시키는 기능,NVH2패턴 소음 지수,FM1.2.1피로균열
,,NVH3동적 불균형량,FM1.2.4인장파단
