Design Failure Modes Effects Analysis(Design FMEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회사,,My Company,,,프로젝트명,,설계 FMEA 그래프 사례,,,,FMEA ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공장,,프로젝트 공장,,,FMEA 개정일자,,2025-12-16,,,,책임자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고객,,프로젝트 고객,,,FMEA 개정번호,,3,,,,보안 등급,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,
모델 연도/프로그램,,모델 연도,,,상호기능팀,,"사람1, 사람2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revision No,Continuous improvement,D-FMEA 구조 분석(2단계),,,,D-FMEA 기능 분석(3단계),,,,,,,,,,,,,,,D-FMEA 리스크 분석(5단계),,,,,,,D-FMEA 최적화(6단계),,,,,,,,,,,,
,History/Change Authorization,1. 다음 상위수준,2. 초점 요소,3. 다음 하위수준,,1. 다음상위수준 기능,,,2. 초점 요소 기능 및 요구사항,,,,,,,2. 초점요소 고장 형태(FM),,3. 다음하위 수준 고장원인(FC),,,현재 예방관리,,현재 검출관리,,리스크 평가,,,계획,,,,결과 모니터링,,,효과 평가,,,,,
,,제품명,어세이 인터 페이스,타입,부품 또는 특성,분류,제품 기능 및 요구사항,요구사항,어세이 기능 및 요구사항,요구사항,부품품,부품 기능 또는 특성,요구사항,고장영향,심각도,고장형태,,타입,부품,고장원인,예방관리,발생도,현재 검출관리,검출도,AP,특별특성,습득교훈,설계 예방 조치,설계 검출 조치,책임자,목표 완료일,상태,보고서 이름,완료일,심각도,발생도,검출도,S/C,AP,비고
,,완제품 타이어,1.1Tread Package,부품,1.1.1Cap Tread,법규기능,CF1내부 압력을 유지하며 구조적 파열을 방지하는 기능,,"FM1.1노면과 직접 접촉하여 구동력·제동력·조향력을 전달하고, 마모 수명 및 소음·배수 성능을 확보하는 기능",,1.1.1Cap Tread,1.1.1컴파운드,,CF1주행 중 파열(9),7,FM1.1.1저마찰,,부품,1.1.1Cap Tread,1.1.1컴파운드 선정 편차,1.1.1표준 컴파운드 물성 DB 기반 설계 승인 절차 적용,2,FM1.1.1마찰계수 시험(드라이·웨트 제동 시험),5,M,M,,예방관리개선,,책임자,,Progress,보고서,2025-12-23,7,2,1,SC,L,비고
,,,,A'ssy,1.1.2Tread Cushion,,,,,,1.1.2Tread Cushion,1.1.1전폭,,CF2차량 제어 상실(9),6,,,A'ssy,1.1.2Tread Cushion,1.1.1물성 예측범위 이탈,1.1.1실차·실험 데이터 기반 물성 예측 모델 보정,3,FM1.1.2실차 가속·제동 성능 평가,6,M,M,,,,,,Progress,,,7,3,6,,M,
,,완제품 타이어,1.1Tread Package,A'ssy,1.1.3Pattern,기본기능,CF2내부 압력을 유지하며 구조적 파열을 방지하는 기능,,"FM1.1노면과 직접 접촉하여 구동력·제동력·조향력을 전달하고, 마모 수명 및 소음·배수 성능을 확보하는 기능",,1.1.3Pattern,1.1.1두께,,PF1가속 성능 저하(7),4,FM1.1.2접지력저하,,A'ssy,1.1.3Pattern,1.1.1공차 정의 부적합,1.1.1전폭 공차 기준서 및 설계 리뷰 체크리스트 적용,3,FM1.1.4편마모 패턴 분석 및 정렬 시험,5,M,M,,,,,,Progress,,,10,3,5,,M,
,,,1.2Sidewall P.,부품,1.1.2Tread Cushion,,,,,,1.1.2Tread Cushion,1.1.1중량,,PF2연비 저하(7),10,,,부품,1.1.2Tread Cushion,1.1.1공차 정의 부적합,1.1.1해석 모델?실차 시험 상관성 검증 수행,4,FM1.1.5수막 저항(Hydroplaning) 시험,6,H,H,,,,,,Progress,,,10,4,6,,H,
,,완제품 타이어,1.2Sidewall P.,A'ssy,1.1.2Tread Cushion,보조기능,PF1노면과의 마찰력을 통해 차량을 전진·후진시키는 기능,,"FM2.1주행 중 굴곡 변형을 허용하여 승차감과 내구성을 확보하고, 외부 충격으로부터 내부 구조를 보호하는 기능",,1.1.2Tread Cushion,1.1.2두께,,PF3조향 응답성 저하(7),6,FM1.1.3조기마모,,A'ssy,1.1.2Tread Cushion,1.1.1접지압 분포 해석 정확도 저하,1.1.1마모·내구 목표 연계 두께 설계 기준 적용,5,FM1.1.7실차 패스바이 소음 시험,8,H,H,,,,,,Progress,,,9,5,8,,H,
,,,1.3Inner Liner P.,부품,1.1.3Pattern,,,,,,1.1.3Pattern,1.1.3Groove,,PF2연비 저하(7),9,,,부품,1.1.3Pattern,1.1.1두께 설계치 산정 편차,1.1.1전폭 공차 기준서 및 설계 리뷰 체크리스트 적용,2,FM1.1.6CFD 기반 배수 성능 시뮬레이션,5,M,M,,,,,,Progress,,,9,2,5,,M,
,,완제품 타이어,1.2Sidewall P.,A'ssy,1.1.2Tread Cushion,보조기능,PF1노면과의 마찰력을 통해 차량을 전진·후진시키는 기능,,,,1.1.2Tread Cushion,1.1.2두께,,PF3조향 응답성 저하(7),10,FM1.1.6배수저하,,A'ssy,1.1.2Tread Cushion,1.1.1접지압 분포 해석 정확도 저하,1.1.1중량 목표 관리 시트 및 설계 단계 중량 계산 검증,5,FM1.2.3인장 강도 시험,7,H,H,,,,,,Progress,,,10,5,7,,H,
,,,1.3Inner Liner P.,부품,1.1.3Pattern,관능기능,PF4조향 입력을 노면에 전달하여 차량 진행 방향을 제어하는 기능,,FM3.1타이어 내부 공기 누설을 방지하여 공기압을 유지하고 주행 안정성을 확보하는 기능,,1.1.3Pattern,1.1.3Groove,,PF5제동 성능 저하(7),3,,,부품,1.1.3Pattern,1.1.1두께 설계치 산정 편차,1.1.2응력 완화 목적별 쿠션 두께 설계 가이드 적용,4,FM1.2.5X-ray 두께 분포 검사,6,H,H,,,,,,Progress,,,10,4,6,,H,
,,완제품 타이어,1.3Inner Liner P.,A'ssy,1.3.1Inner Liner,관능기능,PF4조향 입력을 노면에 전달하여 차량 진행 방향을 제어하는 기능,,,,1.3.1Inner Liner,1.1.3Groove,,PF4선회 안정성 저하(7),7,FM1.1.7소음증가,,A'ssy,1.3.1Inner Liner,1.1.1두께 설계치 산정 편차,1.1.2응력 완화 목적별 쿠션 두께 설계 가이드 적용,4,FM1.2.5X-ray 두께 분포 검사,7,H,H,,,,,,Progress,,,9,4,7,,H,
