,,,,
1레벨 구조분석,1레벨 기능분석,,,1레벨 고장분석
1. 완제품 공정 명,1. 완제품 공정기능 및 요구사항,,,1환제품 고장영향
완제품명+생산라인/공정,구분,완제품기능,요구사항,고장영향(FE)
타이어 제조 공정,Your Plant,1.1규격에 맞는 재료 투입과 배합 일관성을 확보할 수 있도록 기능을 제공한다,1.1 고무종류,"1.1이종 재료 혼입, 물성 불균일, 접착 불량으로 일부 폐기"
,,,,1.2 공정중 이물입 오염으로 선별 폐기
,,,,1.3 원재료 가온 온도 미달로 작업성 저하
,,,1.2 투입순서,1.4 원료 투입순서 이탈로 품질 불균일로 일부 재작업
,,,,1.5 검사 판정 오류로 재검사 및 후공정 유출 원료 회수
타이어 제조 공정,Ship to Plant,2.1차량에 적정하게 장착될 수 있도록 치수 및 형상을 유지하는 기능을 제공한다,2.2Dry/Wet Handling,2.2Dry/Wet 제동 성능 저하로 중대 품질 개선대책요구
,,,2.4Noise Performance,2.4 노이즈 기준 이탈로 타이어 개선 요청
타이어 제조 공정,User,3.1외관 품질을 유지할 수 있도록 기능을 제공한다,3.2Mileage,"3.2조기 마모, 주행거리 단축, 빈번한 교체 비용 증가, 고객 불만"
,,,3.3Air Pressure Retention,"3.3공기압 급강하, 타이어 파열, 차량 제어 상실, 대형 교통사고 발생"
