,,,,
3레벨 구조분석,,3레벨 기능분석,,3레벨 고장분석
3. 작업 요소명,,3 작업요소 기능 및 공정특성,,3.고장원인(FC)
4M,작업요소,작업요소기능,공정특성,고장원인(FC)
MN,00셋업 엔지니어,00설비 조건을 셋업하고 공정 파라미터를 설정하며 초기품을 승인한다,00설비 초기 조건 설정 정확도,00설비 셋업 시 파라미터 입력 실수
MN,00작업자,00작업을 수행하고 기준서를 준수하며 생산품을 이송한다,00 이물질 청소,00 원재료 이물질 오염 제거 누락
,,,,00 원재료 운반중 취급 부주의로 원재료 손상
MC,10자동창고,10자재를 자동보관하고 자동 로딩·언로딩하며 재고를 관리한다,보관위치,원료 보관위치 이탈로 이종원료 출고
EN,00 온도,작업장 온도 이탈로 원료 재 가열,공정온도,00온도 제어기 고장 또는 설정 오류 → 온도관리기준 이탈
MN,00작업자,00작업을 수행하고 기준서를 준수하며 생산품을 이송한다,00 표준작업방법,00작업 표준서 미숙지로 인한 절차 누락
MC,11가온실,11시편을 가온하고 온도를 유지하며 시험 전 예열한다,11보관온도,11온도센서 고장으로 가온온도 이탈
,,,11보관 시간,11 타이머 고장으로 가온시간 부족
MN,00검사원,00 검사를 수행하고 품질을 판정하며 기록한다,00 검사원 판정정확도,00 검사원 숙련도 부족으로 검사 결과 오판정
MC,20MOONEY VISCOMETER,20Mooney 점도를 측정하고 유동성을 평가하며 시험값을 기록한다,20 시험기 정확도,20 MOONEY VISCOMETER 교정주기 초과로 정확도 이탈
