,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
심각도,발생도,검출도,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-10,8-10,7-10,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-7,7-10,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-5,7-10,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-3,7-10,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1-10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-8,8-10,7-10,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-7,7-10,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
